reading_id,equipment_id,sensor_type,reading_value,unit,reading_timestamp,quality_flag
SR-000001,EQ-001,Температура двигателя,82.5,°C,2026-02-10 08:00:12,OK
SR-000002,EQ-001,Давление гидравлики,245.0,бар,2026-02-10 08:00:12,OK
SR-000003,EQ-001,Уровень топлива,68.3,%,2026-02-10 08:00:12,OK
SR-000004,EQ-001,Вибрация,2.1,мм/с,2026-02-10 08:00:12,OK
SR-000005,EQ-001,Температура двигателя,84.1,°C,2026-02-10 08:15:07,OK
SR-000006,EQ-001,Давление гидравлики,242.8,бар,2026-02-10 08:15:07,OK
SR-000007,EQ-001,Уровень топлива,67.1,%,2026-02-10 08:15:07,OK
SR-000008,EQ-001,Вибрация,2.3,мм/с,2026-02-10 08:15:07,OK
SR-000009,EQ-001,Температура двигателя,91.7,°C,2026-02-10 08:30:05,WARN
SR-000010,EQ-001,Давление гидравлики,238.5,бар,2026-02-10 08:30:05,OK
SR-000011,EQ-001,Уровень топлива,65.8,%,2026-02-10 08:30:05,OK
SR-000012,EQ-001,Вибрация,4.8,мм/с,2026-02-10 08:30:05,WARN
SR-000013,EQ-001,Температура двигателя,105.3,°C,2026-02-10 08:45:10,ALARM
SR-000014,EQ-001,Давление гидравлики,220.1,бар,2026-02-10 08:45:10,WARN
SR-000015,EQ-001,Уровень топлива,64.2,%,2026-02-10 08:45:10,OK
SR-000016,EQ-001,Вибрация,7.2,мм/с,2026-02-10 08:45:10,ALARM
SR-000017,EQ-004,Температура двигателя,78.2,°C,2026-02-10 08:00:15,OK
SR-000018,EQ-004,Давление гидравлики,310.5,бар,2026-02-10 08:00:15,OK
SR-000019,EQ-004,Масса груза,58.7,т,2026-02-10 08:00:15,OK
SR-000020,EQ-004,Скорость,12.4,км/ч,2026-02-10 08:00:15,OK
SR-000021,EQ-004,Температура двигателя,79.8,°C,2026-02-10 08:15:20,OK
SR-000022,EQ-004,Давление гидравлики,308.2,бар,2026-02-10 08:15:20,OK
SR-000023,EQ-004,Масса груза,61.2,т,2026-02-10 08:15:20,OK
SR-000024,EQ-004,Скорость,10.8,км/ч,2026-02-10 08:15:20,OK
SR-000025,EQ-004,Температура двигателя,80.5,°C,2026-02-10 08:30:18,OK
SR-000026,EQ-004,Давление гидравлики,305.0,бар,2026-02-10 08:30:18,OK
SR-000027,EQ-004,Масса груза,0.0,т,2026-02-10 08:30:18,OK
SR-000028,EQ-004,Скорость,18.5,км/ч,2026-02-10 08:30:18,OK
SR-000029,EQ-005,Температура двигателя,75.0,°C,2026-02-10 08:00:22,OK
SR-000030,EQ-005,Давление гидравлики,315.8,бар,2026-02-10 08:00:22,OK
SR-000031,EQ-005,Масса груза,55.3,т,2026-02-10 08:00:22,OK
SR-000032,EQ-005,Скорость,14.2,км/ч,2026-02-10 08:00:22,OK
SR-000033,EQ-011,Масса скипа,11.8,т,2026-02-10 08:05:00,OK
SR-000034,EQ-011,Скорость подъема,8.2,м/с,2026-02-10 08:05:00,OK
SR-000035,EQ-011,Натяжение каната,142.5,кН,2026-02-10 08:05:00,OK
SR-000036,EQ-011,Масса скипа,11.5,т,2026-02-10 08:12:30,OK
SR-000037,EQ-011,Скорость подъема,8.0,м/с,2026-02-10 08:12:30,OK
SR-000038,EQ-011,Натяжение каната,140.2,кН,2026-02-10 08:12:30,OK
SR-000039,EQ-011,Масса скипа,12.0,т,2026-02-10 08:20:15,OK
SR-000040,EQ-011,Скорость подъема,7.8,м/с,2026-02-10 08:20:15,OK
SR-000041,EQ-011,Натяжение каната,145.8,кН,2026-02-10 08:20:15,WARN
SR-000042,EQ-002,Температура двигателя,77.3,°C,2026-02-10 08:00:18,OK
SR-000043,EQ-002,Давление гидравлики,250.2,бар,2026-02-10 08:00:18,OK
SR-000044,EQ-002,Уровень топлива,45.1,%,2026-02-10 08:00:18,WARN
SR-000045,EQ-002,Вибрация,1.8,мм/с,2026-02-10 08:00:18,OK
SR-000046,EQ-006,Температура двигателя,88.9,°C,2026-02-10 08:00:25,OK
SR-000047,EQ-006,Давление гидравлики,298.4,бар,2026-02-10 08:00:25,OK
SR-000048,EQ-006,Масса груза,48.5,т,2026-02-10 08:00:25,OK
SR-000049,EQ-006,Скорость,11.0,км/ч,2026-02-10 08:00:25,OK
SR-000050,EQ-006,Температура двигателя,92.4,°C,2026-02-10 08:15:30,WARN
